url,title,image
https://www.allrecipes.com/article/turkey-cooking-time-guide/,How Long to Cook a Turkey,https://www.allrecipes.com/thmb/Sqv7-9NXgqwfc0pWbRn2Ztv_9wY=/771x514/filters:no_upscale():max_bytes(150000):strip_icc():focal(429x287:431x289)/1061659_Chef-Johns-Roast-Turkey-and-Gravy-4x3-1-ee06dbff142445349beba201379a26df.jpg
https://www.allrecipes.com/nothing-but-the-classics-8382614,Nothing But the Classics,https://www.allrecipes.com/thmb/QlGPI9eh_zGx89rw-xrZhstwj_c=/144x95/filters:no_upscale():max_bytes(150000):strip_icc():focal(799x0:801x2)/GOLDMAN_ALR_Holiday23_Classis_3485-436cf1bead664448b450d4f290904d79.jpg
https://www.allrecipes.com/gallery/classic-make-ahead-thanksgiving-casseroles/,10 Classic Make-Ahead Thanksgiving Casseroles,https://www.allrecipes.com/thmb/5JqbXKA_xh4pdyAm1naKn0u9tTE=/144x95/filters:no_upscale():max_bytes(150000):strip_icc():focal(680x334:682x336)/4573472-5146e2108e0b45c08546e751a85dd53b.jpg
https://www.allrecipes.com/article/how-to-brine-turkey/,How to Brine a Turkey,https://www.allrecipes.com/thmb/dqAPuk-deTJ8aDH0kjPGLLspQqQ=/144x95/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/4258457-turkey-brine-photo-by-george-usher-2640f660d06c48898a8836df2aa9ed90.jpg
https://www.allrecipes.com/gallery/traditional-thanksgiving-pies/,22 Traditional Thanksgiving Pies That Never Disappoint,https://www.allrecipes.com/thmb/Xee2zocyKGqefE8D_p6XAMVgRjo=/144x95/filters:no_upscale():max_bytes(150000):strip_icc():focal(265x259:267x261)/Sweet-Potato-Pie-I-Photo-by-Holiday-Baker_2-fb7ffa0d2686424db0b62447700b6d66.jpg
https://www.allrecipes.com/recipe/19547/grandmas-corn-bread-dressing/,Grandma's Cornbread Dressing,https://www.allrecipes.com/thmb/7qykH2bBn1K33MI92VgeidbdjWI=/248x165/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/9418683-03f422b120f542eba5aca343d4287c28.jpg
https://www.allrecipes.com/recipe/166160/juicy-thanksgiving-turkey/,Juicy Thanksgiving Turkey,https://www.allrecipes.com/thmb/GzVJxtxukAzLkj3LVeu8cMb0FU4=/248x165/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/ALR-166160-juicy-thanksgiving-turkey-VAT-4958-4x3-e9fdc719770d4661b5d831f958e6eb78.jpg
https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,Basic Mashed Potatoes,https://www.allrecipes.com/thmb/d_H8M0ZGxPbGVe1jMXa4Hg1JD2M=/248x165/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/24771-basic-mashed-potatoes-mfs318-ed832ab37551471cba0997410217d4c5.jpg
https://www.allrecipes.com/recipe/275305/green-beans-almondine/,Green Beans Almondine,https://www.allrecipes.com/thmb/RksVWRXDcUhAqK7iC50DOx8tsIo=/248x165/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/7069291-green-beans-almondine-France-C-4x3-1-890611b763894f4e9a933c865b740de4.jpg
https://www.allrecipes.com/gallery/essential-thanksgiving-dishes/,The 9 Essential Thanksgiving Dishes for a Traditional Holiday Spread,https://www.allrecipes.com/thmb/pwunisTgppzxfX7JiWWnAc93f_8=/248x165/filters:no_upscale():max_bytes(150000):strip_icc():focal(621x0:623x2)/Chef-Johns-Sweet-Potato-Casserole-d07f4a7b9d0f4d7588c11ff9e64a5900.jpg
https://www.allrecipes.com/recipe/23439/perfect-pumpkin-pie/,Perfect Pumpkin Pie,https://www.allrecipes.com/thmb/N6mO7_rhzOfe2zFi64dCYNQx8N4=/364x242/filters:no_upscale():max_bytes(150000):strip_icc():focal(1049x636:1051x638)/5895606_PerfectPumpkinPie4x3-7009a1ec42424a3d96d39fd0e2e89c11.jpg
https://www.allrecipes.com/recipe/18379/best-green-bean-casserole/,Best Green Bean Casserole,https://www.allrecipes.com/thmb/nlypX9cZWTBPLbzmbM8Dfk2ZpOM=/364x242/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/418379-best-green-bean-casserole-mfs_122-2f99e660f7b6486583388e9d7a80a218.jpg
https://www.allrecipes.com/recipe/229958/turkey-giblet-gravy/,Turkey Giblet Gravy,https://www.allrecipes.com/thmb/sJcjBiHghUXjxYqjkSrbr5HS3RY=/364x242/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/229958-turkey-giblet-gravy-mfs433-2x1-1-94a7e900e6a34513a07e21ddb0e603d0.jpg
https://www.allrecipes.com/mashed-potato-au-gratin-recipe-8401639,Mashed Potato au Gratin,https://www.allrecipes.com/thmb/v7MARR4lNsh5hg17qcAfT5ow_n4=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/8401639_Mashed-Potato-au-Gratin_Chef-John_4x3-b9a892c09911425fb3a69b8b6cc5140f.jpg
https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/,Yummy Sweet Potato Casserole,https://www.allrecipes.com/thmb/zvmU76o1dRJXYUsOJtVeg9hZdFM=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/21261-yummy-sweet-potato-casserole-PreethiVenkatramAllrecipes-4x3-d4a57286ea07483fb0cc386f5def07a5.jpg
https://www.allrecipes.com/recipe/24094/butter-flaky-pie-crust/,Butter Flaky Pie Crust,https://www.allrecipes.com/thmb/_0Yx7TCFCOwCJWHZ2dOXUoXUzWU=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/24094-buttery-flaky-pie-crust-lindsey-hayes-1x1-1-0a75128321d04460b115ee7a042d5d64.jpg
https://www.allrecipes.com/stuffing-bread-pudding-recipe-8347289,Stuffing Bread Pudding,https://www.allrecipes.com/thmb/h-iHSVVRMUqzVbVwUZbrnxD9WTw=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1907x1535:1909x1537)/8347289-stuffing-bread-pudding-ddmfs-3x4-10775-5d743086a1d042e59babccf92241b863.jpg
https://www.allrecipes.com/recipe/56348/a-simply-perfect-roast-turkey/,A Simply Perfect Roast Turkey,https://www.allrecipes.com/thmb/8L85-K0ePtGelpVXK7_cEDkJsYY=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/ALR-56348-a-simply-perfect-roast-turkey-VAT-hero-4x3-c9eaf408d00a4cd89251ea856b1c317f.jpg
https://www.allrecipes.com/sweet-potato-dump-cake-recipe-8363654,Sweet Potato Dump Cake,https://www.allrecipes.com/thmb/5udOsbiliU463M-AGpzwX7mQoSg=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(2061x1699:2063x1701)/8363654-sweet-potato-dump-cake-ddmfs-3x4-10722-2592297c1363477397fe08fa38977660.jpg
https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,Apple Pie by Grandma Ople,https://www.allrecipes.com/thmb/guq5N5bwQxMgxYHTSQhW7zJEK2I=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1486x711:1488x713)/736203ApplePiebyGrandmaOple4x3photobyHolidayBaker-e41ebad7a5064daaa7587fa14c9e7877.jpg
https://www.allrecipes.com/recipe/239960/fresh-cranberry-sauce/,Fresh Cranberry Sauce,https://www.allrecipes.com/thmb/PKMV99fiKsXxP4YnfZm_faCTdSI=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/1626611-846ccef70f7144d8aef69dc6082f5ed0.jpg
https://www.allrecipes.com/recipe/150818/quick-brussels-and-bacon/,Quick Brussels and Bacon,https://www.allrecipes.com/thmb/OkvdkOkAak1V9ZJHgVy5mH194mg=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/491844-85f779f1020b40f5be0a94f63de8d956.jpg
https://www.allrecipes.com/9x13-thanksgiving-casseroles-8401120,25 Thanksgiving Casseroles to Make In Your 9x13 Dish,https://www.allrecipes.com/thmb/yw6D7Q5hpFSrX_X3Dth9P1v_Q4A=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(2050x1432:2052x1434)/ar-holiday-classics-235663-sweet-potato-crunch-4x3_2625-b90f2bd2e8414360b7657ac7118e405a.jpg
https://www.allrecipes.com/butternut-squash-cheesecake-recipe-8386823,Butternut Squash Cheesecake,https://www.allrecipes.com/thmb/qqks-O1Oy4R4XjQeBhkyolUdGhg=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/8386823_Butternut-Squash-Cheesecake_Chef-John_4x3-6e8ff7d8cb10482d97e1e10bb3fa6d30.jpg
https://www.allrecipes.com/loaded-sweet-potato-casserole-recipe-8385055,Loaded Sweet Potato Casserole,https://www.allrecipes.com/thmb/UPXVZ5GmSddME2pL1d07WXf6edQ=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2)/8385055_Loaded-Sweet-Potato-Casserole_Chef-John_4x3-f3516d4313664ebf9dab51987bd47bd1.jpg
https://www.allrecipes.com/recipe/58831/cornish-game-hens-with-rice-stuffing/,Cornish Game Hens with Rice Stuffing,https://www.allrecipes.com/thmb/JofeKTmP2MxJCpA1qIoFgb5n8Kw=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2)/3700054-a4cc603f267e45f7a9ecfcd8630daec3.jpg
